period,series,hurdle_monthly,n_months,mean_monthly,annual_arithmetic_return,annual_volatility,annual_sharpe,max_drawdown,hac_se_mean,hac_t_above_hurdle,bonferroni_adjusted_lower_bound_above_hurdle,rolling36_mean_above_hurdle_share,positive_calendar_year_share_above_hurdle,leave_one_year_out_positive_share_above_hurdle,reverse_sign_adjusted_lower_bound_above_hurdle,reverse_sign_pass,moving_block_boot_probability_mean_above_hurdle
post_publication_lockbox,TSMOM^FI,0.001,89,0.008834984264030288,0.10601981116836345,0.3281411168440154,0.32309212630235795,-0.5610980681640082,0.011255582165246934,0.6960976472831245,-0.01834941537718392,0.7592592592592593,0.5,0.875,-0.03601938390524449,False,0.7379
post_publication_lockbox,TSMOM^FI,0.0025,89,0.008834984264030288,0.10601981116836345,0.3281411168440154,0.32309212630235795,-0.5610980681640082,0.011255582165246934,0.562830440133996,-0.019849415377183918,0.7407407407407407,0.5,0.875,-0.037519383905244494,False,
post_publication_lockbox,TSMOM^FX,0.0,89,0.0008370325492850306,0.010044390591420368,0.18924666725334074,0.05307565378667483,-0.47098973649317777,0.004962283811588012,0.1686788948528856,-0.010706965846190021,0.5370370370370371,0.625,0.75,-0.012381030944760082,False,
post_publication_lockbox,TSMOM^FX,0.001,89,0.0008370325492850306,0.010044390591420368,0.18924666725334074,0.05307565378667483,-0.47098973649317777,0.004962283811588012,-0.03284121926569476,-0.01170696584619002,0.2962962962962963,0.5,0.375,-0.013381030944760081,False,0.48875
post_publication_lockbox,TSMOM^FX,0.0025,89,0.0008370325492850306,0.010044390591420368,0.18924666725334074,0.05307565378667483,-0.47098973649317777,0.004962283811588012,-0.3351213904435653,-0.013206965846190022,0.12962962962962962,0.5,0.125,-0.014881030944760083,False,
post_publication_validation,TSMOM,0.0,72,0.005631067845824905,0.06757281414989885,0.12287105881151912,0.5499489855748189,-0.17559889396605455,0.00437142504077113,1.28815381558769,-0.004538387504301911,0.7837837837837838,0.6666666666666666,1.0,-0.01580052319595172,False,
post_publication_validation,TSMOM,0.001,72,0.005631067845824905,0.06757281414989885,0.12287105881151912,0.5499489855748189,-0.17559889396605455,0.00437142504077113,1.059395460892536,-0.005538387504301911,0.6756756756756757,0.6666666666666666,1.0,-0.01680052319595172,False,0.8514
post_publication_validation,TSMOM,0.0025,72,0.005631067845824905,0.06757281414989885,0.12287105881151912,0.5499489855748189,-0.17559889396605455,0.00437142504077113,0.7162579288498051,-0.007038387504301911,0.6756756756756757,0.6666666666666666,1.0,-0.01830052319595172,False,
post_publication_validation,TSMOM^CM,0.0,72,0.0027491906865053893,0.03299028823806467,0.14837861192355295,0.2223385689513108,-0.32737339194244863,0.005206114935321317,0.528069533742576,-0.009362043725291626,0.5675675675675675,0.6666666666666666,0.8333333333333334,-0.014860425098302404,False,
post_publication_validation,TSMOM^CM,0.001,72,0.0027491906865053893,0.03299028823806467,0.14837861192355295,0.2223385689513108,-0.32737339194244863,0.005206114935321317,0.3359877198710809,-0.010362043725291627,0.5135135135135135,0.5,0.5,-0.015860425098302405,False,0.6558
post_publication_validation,TSMOM^CM,0.0025,72,0.0027491906865053893,0.03299028823806467,0.14837861192355295,0.2223385689513108,-0.32737339194244863,0.005206114935321317,0.047864999063838266,-0.011862043725291626,0.3783783783783784,0.5,0.5,-0.017360425098302403,False,
post_publication_validation,TSMOM^EQ,0.0,72,0.012662869385445918,0.15195443262535102,0.23745162842845302,0.6399384734947677,-0.404092666165063,0.008151375318493788,1.5534641567437684,-0.006300065257241087,0.7297297297297297,0.6666666666666666,1.0,-0.03162580402813292,False,
