Name,date,month,fwd_max_ret_63,fwd_min_ret_63,fwd_ret_63,lead_30,target_abs_up,target_abs_down,target_rel_up
A,2016-07-29,2016-07,0.006859280814799362,-0.09852421533984623,-0.09831635834545827,,0,0,0
A,2016-08-31,2016-08,0.015112813963388705,-0.08003405704555122,-0.0638569604086846,,0,0,0
A,2016-09-30,2016-09,0.01274155871734961,-0.08239541303886178,-0.032490974729241895,,0,0,0
A,2016-10-31,2016-10,0.13059444571953183,-0.00826256598577002,0.13059444571953183,,0,0,0
A,2016-11-30,2016-11,0.18326512050932253,-0.01750795816280115,0.18190086402910421,,0,0,0
A,2016-12-30,2016-12,0.18744512730465313,0.020412642669007885,0.16769095697980685,,0,0,0
A,2017-01-31,2017-01,0.1421278333673679,-0.0014294465999591388,0.1421278333673679,,0,0,0
A,2017-02-28,2017-02,0.17680311890838207,-0.0017543859649121751,0.17680311890838207,,0,0,0
A,2017-03-31,2017-03,0.15017968602231901,-0.010213731794968761,0.1218082088140724,,0,0,0
A,2017-04-28,2017-04,0.11807447774750224,0.013079019073569675,0.09137148047229804,,0,0,0
A,2017-05-31,2017-05,0.05220417633410679,-0.02933377527345049,0.05220417633410679,,0,0,0
A,2017-06-30,2017-06,0.11566346315966958,-0.012476816725678685,0.08244815376833592,,0,0,0
A,2017-07-31,2017-07,0.1368121759491554,-0.020404749958186974,0.1368121759491554,,0,0,0
A,2017-08-31,2017-08,0.09069839307787397,-0.011433868974042083,0.06983930778739178,,0,0,0
