claim_id,feature,family,causal_role,target,top_fraction,orientation,gross_directionally_positive,globally_adjusted_diagnostic_survivor,discovery_lift_mean,discovery_lift_lb,discovery_precision,discovery_base_rate,discovery_recall,discovery_median_lead_days,discovery_mean_terminal_return,discovery_mean_mfe,discovery_mean_mae,validation_lift_mean,validation_lift_lb,validation_precision,validation_base_rate,validation_recall,validation_median_lead_days,validation_mean_terminal_return,validation_mean_mfe,validation_mean_mae,diagnostic_lockbox_lift_mean,diagnostic_lockbox_lift_lb,diagnostic_lockbox_precision,diagnostic_lockbox_base_rate,diagnostic_lockbox_recall,diagnostic_lockbox_median_lead_days,diagnostic_lockbox_mean_terminal_return,diagnostic_lockbox_mean_mfe,diagnostic_lockbox_mean_mae
obv_slope_42:down_21d_20pct:top20,obv_slope_42,signed_volume_proxy,obv_proxy,down_21d_20pct,0.2,-1,True,False,0.008740620929284432,-0.0036775049002924064,0.01897486446525382,0.01021690522433125,0.36900958466453676,15.0,0.004203420765083563,0.04544423544328479,-0.04468775617897596,0.0015912886199734475,-0.005285786501701933,0.01282051282051282,0.011230138186452153,0.22695035460992907,13.5,0.0221762872430251,0.05989284187730908,-0.039631613182269425,0.0038087425290050385,-0.004124598524278196,0.009433962264150943,0.005625219735145904,0.3333333333333333,15.0,0.011104660573805238,0.04961172230786167,-0.03672641067559383
mom5_x_volumez5:down_21d_20pct:top10,mom5_x_volumez5,interaction,price_volume_confirmation,down_21d_20pct,0.1,-1,True,False,0.009150725916161078,-0.009624336501272342,0.019369665134602757,0.01021690522433125,0.18849840255591055,14.0,0.005102227170599401,0.04798026842759014,-0.045777796076849335,0.006799621953306781,-0.008310232450358439,0.018028846153846152,0.011230138186452153,0.1595744680851064,14.0,0.02152225580428425,0.06369015013142527,-0.04553775183020947,0.0038087425290050385,-0.004018143441444201,0.009433962264150943,0.005625219735145904,0.16666666666666666,12.0,0.01204702752344024,0.05055497509840787,-0.035642218011828375
intraday_5:down_21d_20pct:top10,intraday_5,session,regular_session_demand,down_21d_20pct,0.1,-1,True,False,0.01374739202438691,-0.00695200884282576,0.023985542960407426,0.01021690522433125,0.23322683706070288,15.0,0.006250631369879213,0.05254677682847439,-0.0488207709324634,0.00960410913279396,-0.017548088114218322,0.020833333333333332,0.011230138186452153,0.18439716312056736,13.0,0.029124482197530287,0.07135514069744398,-0.044862894407462446,0.003808742529005038,-0.002955900988891363,0.009433962264150943,0.005625219735145904,0.16666666666666666,17.0,0.012149159284478317,0.054042033141801296,-0.03919781784478869
rel_strength_21:down_21d_20pct:top20,rel_strength_21,market_relative,relative_strength,down_21d_20pct,0.2,-1,True,False,0.014564111742932727,-0.007954121355958032,0.02480085406914675,0.01021690522433125,0.48242811501597443,15.0,0.004752817621098934,0.048790049309324866,-0.04732559351895328,0.009003147594332421,-0.013323938121451455,0.020232371794871796,0.011230138186452153,0.35815602836879434,13.0,0.024411420073992496,0.06614708393632014,-0.041642632699430936,0.003808742529005038,-0.0021055844257712435,0.009433962264150943,0.005625219735145904,0.3333333333333333,12.5,0.012005342825184563,0.05106392205851163,-0.037484430019945156
residual_mom_42:up_21d_30pct:top20,residual_mom_42,market_relative,idiosyncratic_direction,up_21d_30pct,0.2,-1,True,False,0.0016337038951385505,-0.0019689747119806637,0.0029563932002956393,0.0013219957239150658,0.4444444444444444,16.0,0.003206520793322084,0.0484896602552563,-0.04906015693668914,0.004643789951554248,-0.006172887781148754,0.01061698717948718,0.005973477758751145,0.35333333333333333,13.0,0.027002881898385206,0.06935811023592911,-0.042605892709931086,0.003746484237665533,-0.0018736824010451617,0.005699685534591195,0.001953201296925661,0.58,17.0,0.010244799234264542,0.05348751227051541,-0.04098341031509612
rel_strength_42:up_21d_30pct:top20,rel_strength_42,market_relative,relative_strength,up_21d_30pct,0.2,-1,True,False,0.001960061126800382,-0.0018020469765502836,0.0032848813336618216,0.0013219957239150658,0.49382716049382713,15.5,0.00382019669777634,0.048294725314390066,-0.04792421045402945,0.0052447514900157855,-0.0083677783894285,0.011217948717948718,0.005973477758751145,0.37333333333333335,13.5,0.025904190823978695,0.06701967493272229,-0.04269868087651771,0.003746484237665533,-0.0018736824010451617,0.005699685534591195,0.001953201296925661,0.58,17.0,0.010087081672178632,0.051930138145732045,-0.039793573555575355
gap_abs_63:up_42d_50pct:top10,gap_abs_63,session,information_jump,up_42d_50pct,0.1,1,True,False,0.001375837051720712,-0.0021039216594562656,0.0017676361883336013,0.0003918751224609758,0.4583333333333333,34.0,0.0075677929703119,0.09560145471651846,-0.09467297020653685,0.026480190599672056,-0.013862067977255525,0.029827315541601257,0.0033456804875134426,0.9047619047619048,31.5,0.09425220172039787,0.16063928123565308,-0.06512655972428705,0.003727940451542936,-0.003876257644368273,0.00467687074829932,0.0009489302967563837,0.5,31.0,0.020325515294604343,0.0956092470556604,-0.07406353257326777
residual_mom_126:up_42d_50pct:top10,residual_mom_126,market_relative,idiosyncratic_direction,up_42d_50pct,0.1,1,True,False,0.0009309141168012279,-0.003074941624791115,0.0013003901170351106,0.0003918751224609758,0.3333333333333333,35.0,0.020850935071350243,0.08305654072031014,-0.06615262427660343,0.006464492012544898,-0.0026133619266519963,0.009811616954474097,0.0033456804875134426,0.2976190476190476,33.0,0.04063173171388835,0.09186557210196868,-0.05559852508784259,0.003727940451542936,-0.006365006389816156,0.00467687074829932,0.0009489302967563837,0.5,33.0,0.03558149825040428,0.08199368814130963,-0.04507180803440626
rel_strength_126:up_42d_50pct:top10,rel_strength_126,market_relative,relative_strength,up_42d_50pct,0.1,1,True,False,0.0010928836665258799,-0.0033390247375440878,0.001462225832656377,0.0003918751224609758,0.375,36.0,0.021738509725532432,0.08514051390611815,-0.06745039157846272,0.006464492012544898,-0.004629821833388557,0.009811616954474097,0.0033456804875134426,0.2976190476190476,33.0,0.0476426373928104,0.09802008084745455,-0.05321758263378901,0.003727940451542936,-0.006365006389816156,0.00467687074829932,0.0009489302967563837,0.5,33.0,0.03480706616473099,0.08274817527443934,-0.04692674564929264
gap_abs_5:up_42d_50pct:top10,gap_abs_5,session,information_jump,up_42d_50pct,0.1,1,True,False,0.0008937544549024571,-0.0009675320609562551,0.001286587327114828,0.0003918751224609758,0.3333333333333333,33.0,0.007011363872798772,0.07933141271966102,-0.0802391837669162,0.020200755748808634,-0.009037282963102796,0.023547880690737835,0.0033456804875134426,0.7142857142857143,32.0,0.07268889998535927,0.13392016006394228,-0.0652979054073783,0.0037279404515429358,-0.00487818767058113,0.00467687074829932,0.0009489302967563837,0.5,39.0,0.023329067179795385,0.08480216659956202,-0.059162411460877605
