candidate_id,f1,s1,f2,s2,kind,family1,family2
U::skew_20::+1,skew_20,1,,,univariate,distribution_shape,
U::skew_20::-1,skew_20,-1,,,univariate,distribution_shape,
U::skew_40::+1,skew_40,1,,,univariate,distribution_shape,
U::skew_40::-1,skew_40,-1,,,univariate,distribution_shape,
U::skew_5::+1,skew_5,1,,,univariate,distribution_shape,
U::skew_5::-1,skew_5,-1,,,univariate,distribution_shape,
U::skew_63::+1,skew_63,1,,,univariate,distribution_shape,
U::skew_63::-1,skew_63,-1,,,univariate,distribution_shape,
U::trend_slope_10::+1,trend_slope_10,1,,,univariate,trend_quality,
U::trend_slope_10::-1,trend_slope_10,-1,,,univariate,trend_quality,
U::trend_slope_126::+1,trend_slope_126,1,,,univariate,trend_quality,
U::trend_slope_126::-1,trend_slope_126,-1,,,univariate,trend_quality,
U::trend_slope_20::+1,trend_slope_20,1,,,univariate,trend_quality,
U::trend_slope_20::-1,trend_slope_20,-1,,,univariate,trend_quality,
U::trend_slope_40::+1,trend_slope_40,1,,,univariate,trend_quality,
U::trend_slope_40::-1,trend_slope_40,-1,,,univariate,trend_quality,
U::trend_slope_63::+1,trend_slope_63,1,,,univariate,trend_quality,
U::trend_slope_63::-1,trend_slope_63,-1,,,univariate,trend_quality,
U::vol_10::+1,vol_10,1,,,univariate,volatility,
U::vol_10::-1,vol_10,-1,,,univariate,volatility,
U::vol_126::+1,vol_126,1,,,univariate,volatility,
U::vol_126::-1,vol_126,-1,,,univariate,volatility,
U::vol_20::+1,vol_20,1,,,univariate,volatility,
U::vol_20::-1,vol_20,-1,,,univariate,volatility,
U::vol_40::+1,vol_40,1,,,univariate,volatility,
U::vol_40::-1,vol_40,-1,,,univariate,volatility,
U::vol_5::+1,vol_5,1,,,univariate,volatility,
U::vol_5::-1,vol_5,-1,,,univariate,volatility,
U::vol_63::+1,vol_63,1,,,univariate,volatility,
U::vol_63::-1,vol_63,-1,,,univariate,volatility,
U::vol_ratio_10_40::+1,vol_ratio_10_40,1,,,univariate,volatility_compression,
U::vol_ratio_10_40::-1,vol_ratio_10_40,-1,,,univariate,volatility_compression,
U::vol_ratio_20_63::+1,vol_ratio_20_63,1,,,univariate,volatility_compression,
U::vol_ratio_20_63::-1,vol_ratio_20_63,-1,,,univariate,volatility_compression,
