claim_id,target,candidate_id,promoted,validation_diff_mean,validation_simultaneous_lb,lockbox_diff_mean,lockbox_simultaneous_lb,live_decision_weight,capital_permission
DRAWDOWN_63_20|S:relret_63:-1,DRAWDOWN_63_20,S:relret_63:-1,False,0.03513888888888889,-0.08125000000000002,0.09142857142857141,-0.031500000000000264,0.0,BLOCKED
DRAWDOWN_63_20|A:atr_14:+1&dist_high_126:-1,DRAWDOWN_63_20,A:atr_14:+1&dist_high_126:-1,False,0.05180555555555557,-0.06458333333333335,0.08857142857142859,-0.034357142857143086,0.0,BLOCKED
DRAWDOWN_63_20|A:ret_42:-1&vol_63:+1,DRAWDOWN_63_20,A:ret_42:-1&vol_63:+1,False,0.048611111111111126,-0.0677777777777778,0.08857142857142859,-0.034357142857143086,0.0,BLOCKED
DRAWDOWN_63_20|A:dist_high_126:-1&vol_126:+1,DRAWDOWN_63_20,A:dist_high_126:-1&vol_126:+1,False,0.03847222222222222,-0.07791666666666669,0.08857142857142859,-0.034357142857143086,0.0,BLOCKED
DRAWDOWN_63_20|A:atr_63:+1&ret_252:-1,DRAWDOWN_63_20,A:atr_63:+1&ret_252:-1,False,0.06902777777777777,-0.047361111111111145,0.08857142857142856,-0.034357142857143114,0.0,BLOCKED
DRAWDOWN_63_20|A:dist_high_63:-1&mom_252_21:-1,DRAWDOWN_63_20,A:dist_high_63:-1&mom_252_21:-1,False,0.0488888888888889,-0.06750000000000002,0.08857142857142856,-0.034357142857143114,0.0,BLOCKED
DRAWDOWN_63_20|A:ret_252:-1&ret_63:-1,DRAWDOWN_63_20,A:ret_252:-1&ret_63:-1,False,0.041666666666666664,-0.07472222222222225,0.08857142857142856,-0.034357142857143114,0.0,BLOCKED
DRAWDOWN_63_20|A:ret_42:-1&ret_63:-1,DRAWDOWN_63_20,A:ret_42:-1&ret_63:-1,False,0.02472222222222223,-0.09166666666666669,0.08857142857142856,-0.034357142857143114,0.0,BLOCKED
DRAWDOWN_63_20|A:accel_21_63:+1&dist_high_126:-1,DRAWDOWN_63_20,A:accel_21_63:+1&dist_high_126:-1,False,0.011388888888888893,-0.10500000000000002,0.08857142857142856,-0.034357142857143114,0.0,BLOCKED
DRAWDOWN_63_20|A:relret_63:-1&vol_126:+1,DRAWDOWN_63_20,A:relret_63:-1&vol_126:+1,False,0.05194444444444445,-0.06444444444444447,0.08571428571428573,-0.03721428571428595,0.0,BLOCKED
DRAWDOWN_63_20|A:ret_63:-1&vol_126:+1,DRAWDOWN_63_20,A:ret_63:-1&vol_126:+1,False,0.05194444444444445,-0.06444444444444447,0.08571428571428573,-0.03721428571428595,0.0,BLOCKED
DRAWDOWN_63_20|A:cmf_60:-1&vol_63:+1,DRAWDOWN_63_20,A:cmf_60:-1&vol_63:+1,False,0.04125,-0.07513888888888892,0.08571428571428573,-0.03721428571428595,0.0,BLOCKED
DRAWDOWN_63_20|A:dist_high_126:-1&ret_42:-1,DRAWDOWN_63_20,A:dist_high_126:-1&ret_42:-1,False,0.03513888888888889,-0.08125000000000002,0.08571428571428573,-0.03721428571428595,0.0,BLOCKED
DRAWDOWN_63_20|A:atr_63:+1&vol_21:+1,DRAWDOWN_63_20,A:atr_63:+1&vol_21:+1,False,0.06861111111111111,-0.04777777777777781,0.08571428571428572,-0.03721428571428596,0.0,BLOCKED
DRAWDOWN_63_20|A:dist_high_252:-1&vol_21:+1,DRAWDOWN_63_20,A:dist_high_252:-1&vol_21:+1,False,0.0525,-0.06388888888888891,0.08571428571428572,-0.03721428571428596,0.0,BLOCKED
DRAWDOWN_63_20|A:dist_high_63:-1&ret_126:-1,DRAWDOWN_63_20,A:dist_high_63:-1&ret_126:-1,False,0.05236111111111113,-0.0640277777777778,0.08571428571428572,-0.03721428571428596,0.0,BLOCKED
DRAWDOWN_63_20|A:dist_high_63:-1&obv_slope_63:-1,DRAWDOWN_63_20,A:dist_high_63:-1&obv_slope_63:-1,False,0.0006944444444444466,-0.11569444444444447,0.08571428571428572,-0.03721428571428596,0.0,BLOCKED
DRAWDOWN_63_20|A:dist_high_63:-1&ret_42:-1,DRAWDOWN_63_20,A:dist_high_63:-1&ret_42:-1,False,0.03513888888888889,-0.08125000000000002,0.0857142857142857,-0.03721428571428598,0.0,BLOCKED
DRAWDOWN_63_20|S:dist_high_252:-1,DRAWDOWN_63_20,S:dist_high_252:-1,False,0.06263888888888888,-0.053750000000000034,0.08285714285714287,-0.04007142857142881,0.0,BLOCKED
DRAWDOWN_63_20|A:atr_63:+1&ret_21:-1,DRAWDOWN_63_20,A:atr_63:+1&ret_21:-1,False,0.05236111111111113,-0.0640277777777778,0.08285714285714287,-0.04007142857142881,0.0,BLOCKED
DRAWDOWN_63_20|A:dist_high_63:-1&relret_126:-1,DRAWDOWN_63_20,A:dist_high_63:-1&relret_126:-1,False,0.05236111111111113,-0.0640277777777778,0.08285714285714287,-0.04007142857142881,0.0,BLOCKED
DRAWDOWN_63_20|A:dist_high_63:-1&ret_252:-1,DRAWDOWN_63_20,A:dist_high_63:-1&ret_252:-1,False,0.052083333333333336,-0.06430555555555559,0.08285714285714287,-0.04007142857142881,0.0,BLOCKED
DRAWDOWN_63_20|A:accel_21_63:+1&atr_63:+1,DRAWDOWN_63_20,A:accel_21_63:+1&atr_63:+1,False,0.048611111111111105,-0.06777777777777781,0.08285714285714287,-0.04007142857142881,0.0,BLOCKED
DRAWDOWN_63_20|A:relret_63:-1&ret_252:-1,DRAWDOWN_63_20,A:relret_63:-1&ret_252:-1,False,0.04180555555555556,-0.07458333333333336,0.08285714285714287,-0.04007142857142881,0.0,BLOCKED
DRAWDOWN_63_20|S:dist_high_126:-1,DRAWDOWN_63_20,S:dist_high_126:-1,False,0.0386111111111111,-0.0777777777777778,0.08285714285714287,-0.04007142857142881,0.0,BLOCKED
DRAWDOWN_63_20|A:atr_14:+1&ret_42:-1,DRAWDOWN_63_20,A:atr_14:+1&ret_42:-1,False,0.03847222222222222,-0.07791666666666669,0.08285714285714287,-0.04007142857142881,0.0,BLOCKED
