metric,horizon_m,n,n_oos,base_rate,oos_ic,block_perm_p,n_nonoverlap,nonoverlap_ic,nonoverlap_p,raw_auc,raw_pr_auc,logit_brier,logit_auc,logit_pr_auc,era_ic_pre1946,era_ic_postwar,era_ic_modern,fdr_q_nonoverlap,status
rate10_chg_6m,12,1815,726,0.09504132231404959,0.1320862617679243,0.09983361064891846,61,0.234279972827486,0.06916902807878722,0.519522202369135,0.10396980576801661,0.12293532428950556,0.5195442613548629,0.1039698057680166,0.2456750649767208,0.2901381430353345,-0.03431945203450363,0.2766761123151489,CONDITIONAL_US_ONLY
rate10_chg_12m,12,1809,724,0.09530386740331492,0.07945409450728597,0.39933444259567386,61,0.07816073719267401,0.5493442868786793,0.5110299811926099,0.09953346604209931,0.10810565365299592,0.5110410443633144,0.09952064791480611,0.1990880011168284,0.2591343807234433,-0.0739567672616042,0.9241839795692837,CONTEXT_ONLY
inflation_yoy,12,1809,724,0.09530386740331492,0.2612788966770237,0.008319467554076539,61,0.2800105764145954,0.028842301081637513,0.6284766013939596,0.12829923502924648,0.09183620210497759,0.3715233986060405,0.07261669584126827,0.08462478134382594,0.26558384811847646,0.11485499269877347,0.19228200721091673,CONDITIONAL_US_ONLY
inflation_accel_6m,12,1803,722,0.09556786703601108,0.20109378762136104,0.018302828618968387,61,0.321523003701745,0.01151380612478041,0.6975164791264399,0.23044624358742938,0.0901492825358381,0.6975164791264399,0.23044624358742938,0.2138896170717194,0.23518160863057036,0.10030002088639164,0.19228200721091673,CONDITIONAL_US_ONLY
inflation_abs,12,1809,724,0.09530386740331492,0.2636738828257867,0.008319467554076539,61,0.28762559492332096,0.02459649529356487,0.6278128111516761,0.12823229064659314,0.09099222421027431,0.6278128111516761,0.12823229064659314,0.19488972082934264,0.26925725882906204,0.11953722550167833,0.19228200721091673,CONDITIONAL_US_ONLY
real_rate_proxy,12,1809,724,0.09530386740331492,-0.1912491321922796,0.05823627287853577,61,-0.2375991538868323,0.06520948717637537,0.4113729394844563,0.08073674754060499,0.09187877907232656,0.4113729394844563,0.08073674754060499,-0.11026097734393232,-0.22519990558458555,-0.11468967956173641,0.2766761123151489,CONDITIONAL_US_ONLY
earnings_yoy_negative,12,1809,724,0.09530386740331492,0.03552740628166094,0.7138103161397671,61,0.07715494447382336,0.5545103877415702,0.5922557805066931,0.21851818226620875,0.09087503756612952,0.5922557805066931,0.21851818226620875,-0.14622936115005733,-0.0642983531098265,0.05330863884338126,0.9241839795692837,CONTEXT_ONLY
earnings_decel_6m,12,1803,722,0.09556786703601108,0.16997086450101315,0.04326123128119801,61,0.023955579058699095,0.8545982345107107,0.5868788423552388,0.13950979370457817,0.09352370032082201,0.5868788423552388,0.13950979370457817,-0.1380370308523874,-0.022373853696456097,0.28913199931663297,0.9383252678331381,CONTEXT_ONLY
earnings_decel_12m,12,1797,719,0.09596662030598054,0.10850313895760427,0.23793677204658903,60,0.055904417893859415,0.6713787482401575,0.5521070234113713,0.14469522673010377,0.09218181644480164,0.5521070234113713,0.14469522673010377,-0.15405604842142634,-0.009739447652331451,0.205725187982856,0.9383252678331381,CONTEXT_ONLY
dividend_yoy_negative,12,1809,724,0.09530386740331492,0.0724725182915266,0.502495840266223,61,0.040031729243786354,0.7593668023928628,0.6286093594424162,0.14267040701592415,0.09441523438231798,0.3713906405575838,0.07095212380545517,-0.04928336175303682,-0.04018113484623516,0.1628527072014978,0.9383252678331381,CONTEXT_ONLY
