experiment_id,kind,spec,horizon_m,target,data_origin,dataset_hash,oos_method,oos_ic,nonoverlap_ic,nonoverlap_p,block_perm_p,fdr_q,status
EXP_U_0028,UNIVARIATE,inflation_abs,12,future SPX max drawdown severity / >=20% crash,FACTUAL,28d16941c581bda9bdcae4e0f9e3cc4b61204f8484e8c2249abdde2efe2cc3c4,chronological 60/40 + nonoverlap + block permutation + era splits,0.2636738828257867,0.2876255949233209,0.0245964952935648,0.0083194675540765,0.1922820072109167,CONDITIONAL_US_ONLY
EXP_U_0029,UNIVARIATE,real_rate_proxy,12,future SPX max drawdown severity / >=20% crash,FACTUAL,28d16941c581bda9bdcae4e0f9e3cc4b61204f8484e8c2249abdde2efe2cc3c4,chronological 60/40 + nonoverlap + block permutation + era splits,-0.1912491321922796,-0.2375991538868323,0.0652094871763753,0.0582362728785357,0.2766761123151489,CONDITIONAL_US_ONLY
EXP_U_0030,UNIVARIATE,earnings_yoy_negative,12,future SPX max drawdown severity / >=20% crash,FACTUAL,28d16941c581bda9bdcae4e0f9e3cc4b61204f8484e8c2249abdde2efe2cc3c4,chronological 60/40 + nonoverlap + block permutation + era splits,0.0355274062816609,0.0771549444738233,0.5545103877415702,0.7138103161397671,0.9241839795692836,CONTEXT_ONLY
EXP_U_0031,UNIVARIATE,earnings_decel_6m,12,future SPX max drawdown severity / >=20% crash,FACTUAL,28d16941c581bda9bdcae4e0f9e3cc4b61204f8484e8c2249abdde2efe2cc3c4,chronological 60/40 + nonoverlap + block permutation + era splits,0.1699708645010131,0.023955579058699,0.8545982345107107,0.043261231281198,0.938325267833138,CONTEXT_ONLY
EXP_U_0032,UNIVARIATE,earnings_decel_12m,12,future SPX max drawdown severity / >=20% crash,FACTUAL,28d16941c581bda9bdcae4e0f9e3cc4b61204f8484e8c2249abdde2efe2cc3c4,chronological 60/40 + nonoverlap + block permutation + era splits,0.1085031389576042,0.0559044178938594,0.6713787482401575,0.237936772046589,0.938325267833138,CONTEXT_ONLY
EXP_U_0033,UNIVARIATE,dividend_yoy_negative,12,future SPX max drawdown severity / >=20% crash,FACTUAL,28d16941c581bda9bdcae4e0f9e3cc4b61204f8484e8c2249abdde2efe2cc3c4,chronological 60/40 + nonoverlap + block permutation + era splits,0.0724725182915266,0.0400317292437863,0.7593668023928628,0.502495840266223,0.938325267833138,CONTEXT_ONLY
EXP_U_0034,UNIVARIATE,dividend_decel_6m,12,future SPX max drawdown severity / >=20% crash,FACTUAL,28d16941c581bda9bdcae4e0f9e3cc4b61204f8484e8c2249abdde2efe2cc3c4,chronological 60/40 + nonoverlap + block permutation + era splits,-0.1062264515550383,-0.0954521417239555,0.464317852798034,0.2678868552412645,0.9241839795692836,CONTEXT_ONLY
EXP_U_0035,UNIVARIATE,vix_avg,12,future SPX max drawdown severity / >=20% crash,FACTUAL,28d16941c581bda9bdcae4e0f9e3cc4b61204f8484e8c2249abdde2efe2cc3c4,chronological 60/40 + nonoverlap + block permutation + era splits,0.0363384173943212,0.178021978021978,0.5425969526062154,0.8435940099833611,0.9241839795692836,CONTEXT_ONLY
EXP_U_0036,UNIVARIATE,vix_max,12,future SPX max drawdown severity / >=20% crash,FACTUAL,28d16941c581bda9bdcae4e0f9e3cc4b61204f8484e8c2249abdde2efe2cc3c4,chronological 60/40 + nonoverlap + block permutation + era splits,0.0543596739940331,0.1912087912087912,0.5125839704707786,0.7504159733777038,0.9241839795692836,CONTEXT_ONLY
EXP_U_0037,UNIVARIATE,vix_expanding_pct,12,future SPX max drawdown severity / >=20% crash,FACTUAL,28d16941c581bda9bdcae4e0f9e3cc4b61204f8484e8c2249abdde2efe2cc3c4,chronological 60/40 + nonoverlap + block permutation + era splits,0.0640412973580597,0.1398601398601399,0.6646331617926677,0.7171381031613977,0.938325267833138,CONTEXT_ONLY
