claim_id,feature,family,target,orientation,diagnostic_survivor,discovery_n,discovery_beta,discovery_hac_t,discovery_bonferroni_lb,discovery_spearman,validation_n,validation_beta,validation_hac_t,validation_bonferroni_lb,validation_spearman,diagnostic_holdout_n,diagnostic_holdout_beta,diagnostic_holdout_hac_t,diagnostic_holdout_bonferroni_lb,diagnostic_holdout_spearman
cpi_yoy_change_12:future_6m_return,cpi_yoy_change_12,macro,future_6m_return,-1,False,264,0.0866871379007143,0.5407551475358073,-0.4941795368215007,0.08668713790071424,156,-0.07398966351092914,-0.3961430459824371,-0.7507602488322132,-0.07398966351092913,183,0.3478613332497865,2.212871941300205,-0.22174175331539514,0.3478613332497864
rate10_level:future_6m_realized_vol,rate10_level,macro,future_6m_realized_vol,1,False,264,0.2948697191377946,2.0434562551191484,-0.22799253389559893,0.2948697191377946,156,0.06575019862141881,0.3675538874112817,-0.5824341014677461,0.06575019862141872,183,0.34738050581083824,2.9680815383097507,-0.0767036767702306,0.3473805058108383
commodity_dxy_divergence:future_12m_return,commodity_dxy_divergence,interaction_or_placebo,future_12m_return,-1,False,264,0.2064267033633559,1.2457556841815205,-0.3939937227517577,0.2064267033633561,156,0.1808537876752383,0.8158091092738923,-0.6224161565261891,0.18085378767523833,177,0.34528055262201135,1.760689231245787,-0.36529763015080946,0.34528055262201146
cpi_yoy_level:future_6m_drawdown_loss,cpi_yoy_level,macro,future_6m_drawdown_loss,1,False,264,0.2547902718759678,2.400726872197919,-0.1297683452759391,0.25479027187596737,156,0.04212983929114501,0.22926928353970766,-0.6237048037951691,0.04212983929114506,183,0.34407303058144667,2.4712934692665973,-0.16041256461741693,0.3440730305814471
cape_change_12:future_6m_realized_vol,cape_change_12,valuation,future_6m_realized_vol,-1,False,264,0.32944238722364794,2.261037874595843,-0.19850919765721065,0.32944238722364777,156,0.08884509125897078,0.41974596903974787,-0.67810898949185,0.08884509125897073,183,0.3427248846943147,2.5379550933565866,-0.14658519754366517,0.34272488469431506
cpi_yoy_level:future_6m_realized_vol,cpi_yoy_level,macro,future_6m_realized_vol,1,False,264,0.45034483050982865,3.437911564281028,-0.024304573541416186,0.45034483050982915,156,-0.303848764717552,-1.7974749724545853,-0.9163642628705904,-0.303848764717552,183,0.32532328683433437,2.708292007638758,-0.10993006300538771,0.3253232868343347
spx_vol_24:future_12m_return,spx_vol_24,volatility,future_12m_return,1,False,264,0.1258535567309511,0.9549984539474263,-0.35165953620685614,0.12585355673095108,156,-0.2681291586982978,-1.221605909448232,-1.0634372108119157,-0.2681291586982979,177,0.3225965616938763,2.5991652873611026,-0.12712974771405494,0.32259656169387657
spx_vol_60:future_12m_return,spx_vol_60,volatility,future_12m_return,1,False,264,0.09334176835432309,0.5709089455286416,-0.4990808554000955,0.09334176835432298,156,-0.42072039322912547,-1.9487632464820437,-1.2029908740938613,-0.42072039322912513,177,0.32012084278319286,2.234480510557312,-0.19898968837418618,0.3201208427831928
spx_vol_24:future_6m_return,spx_vol_24,volatility,future_6m_return,1,False,264,0.13360521062636904,1.3460040539620788,-0.22606087389264373,0.13360521062636907,156,-0.25012406947890814,-1.326220869852929,-0.9335037903194765,-0.2501240694789079,183,0.3198973157989552,2.8912357550856016,-0.08101513952722389,0.3198973157989551
real_rate_change_12:future_12m_return,real_rate_change_12,macro,future_12m_return,1,False,264,0.005931689373830126,0.034488692429824296,-0.6172635539051577,0.005931689373830108,156,-0.061288742077729136,-0.3347475947042242,-0.7247043756219983,-0.061288742077729205,177,0.31259413791312496,1.669595219754531,-0.3658156352160967,0.3125941379131249
oil_mom_24:future_6m_realized_vol,oil_mom_24,cross_asset,future_6m_realized_vol,1,False,84,0.5102561506530325,3.9392093232845355,0.040900935074745404,0.5102561506530322,156,-0.28887483997407964,-1.5333051139622758,-0.971533482265093,-0.28887483997407964,183,0.30933126032912195,2.6372983230166334,-0.11566686203824961,0.3093312603291221
cpi_yoy_change_3:future_6m_return,cpi_yoy_change_3,macro,future_6m_return,-1,False,264,0.1421570841388608,1.161477068746412,-0.30132933591147143,0.14215708413886083,156,0.002228509111599296,0.021473909961118965,-0.37380430532644254,0.0022285091115993336,183,0.30751607622598365,2.7891747574262684,-0.09198187591263318,0.30751607622598365
cpi_yoy_change_3:future_12m_return,cpi_yoy_change_3,macro,future_12m_return,-1,False,264,0.17030959570596566,1.2046151752134768,-0.34197730024619405,0.17030959570596577,156,0.013655545194480877,0.0913259588573788,-0.5281422859050471,0.013655545194480874,177,0.3063550665674071,2.3494506185555437,-0.1661225129704948,0.3063550665674071
spx_mom_6:future_6m_realized_vol,spx_mom_6,trend,future_6m_realized_vol,-1,False,264,0.2852044574752517,2.136644347643455,-0.198462623240517,0.28520445747525186,156,0.23592167027548172,1.269808819308173,-0.4372904931423044,0.23592167027548147,183,0.299850007440884,1.7893560364785597,-0.3073471924230184,0.299850007440884
spx_vol_12:future_6m_return,spx_vol_12,volatility,future_6m_return,1,False,264,0.2481566187995485,3.1067728953394997,-0.0412702288930418,0.2481566187995485,156,-0.15576172338037952,-0.8909734168652002,-0.7892206433472613,-0.15576172338037964,183,0.2988826925035051,2.2140783092470158,-0.19025400676088833,0.2988826925035051
dxy_vol_24:future_12m_return,dxy_vol_24,cross_asset,future_12m_return,1,False,264,0.08939404809266353,0.6235307012754175,-0.4300912020519629,0.08939404809266346,156,-0.19460732405051306,-0.8828157128483745,-0.9933586377742818,-0.19460732405051287,177,0.2976900503800141,1.9834423107172032,-0.24614501319401544,0.29769005038001417
