claim_id,family,tier,available_start,available_end,validation_n,validation_mean_monthly,validation_annualized_sharpe,validation_hac_t,validation_bonferroni_lower_bound,validation_leave_one_year_out_min_mean,validation_max_drawdown,validation_lb_after_25bps,lockbox_n,lockbox_mean_monthly,lockbox_annualized_sharpe,lockbox_hac_t,lockbox_bonferroni_lower_bound,lockbox_leave_one_year_out_min_mean,lockbox_max_drawdown,lockbox_lb_after_25bps
VME:MOM^AA,value_momentum_everywhere,FAILED_OR_UNIDENTIFIABLE,1972-01-31,2025-01-31,84,-0.00010666195047971804,-0.03414115142091725,-0.10417559424998067,-0.0031943091696781784,-0.0008306300549256289,-0.09245800024790318,-0.0056943091696781785,73,-0.0004390396286359322,-0.10536518349970164,-0.26017036907878505,-0.005528011244381536,-0.0016131830373132872,-0.12455495998162802,-0.008028011244381537
VME:VALLS_VME_US90,value_momentum_everywhere,FAILED_OR_UNIDENTIFIABLE,1972-02-29,2026-04-30,84,-0.0024469916084946426,-0.33876377069593555,-0.8434421595442391,-0.011196049975300836,-0.005581108527927638,-0.2793426572674912,-0.013696049975300838,88,-0.0018393944736919314,-0.15073072842322435,-0.3338644161858892,-0.01845395594550846,-0.005670159624580263,-0.39565179630367564,-0.020953955945508463
VME:MOMLS_VME_US90,value_momentum_everywhere,DIRECTIONALLY_PERSISTENT_ONLY,1972-02-29,2026-04-30,84,0.0025731891965884526,0.29983867805216824,0.9685019796515585,-0.005439076560212542,0.00037313155371194426,-0.16087740319060806,-0.007939076560212545,88,0.0064964811564176125,0.5809927811518105,1.7667771543785746,-0.004592216633984326,0.004272835214675596,-0.19130104337561993,-0.007092216633984326
VME:VALLS_VME_UK90,value_momentum_everywhere,FAILED_OR_UNIDENTIFIABLE,1981-07-31,2026-04-30,84,-0.0005763351293533329,-0.06881496607447547,-0.173701119014861,-0.010582245652766234,-0.004879830818596112,-0.3189833855303571,-0.013082245652766234,88,-0.0011479741070871594,-0.0978607866084721,-0.19762612885243624,-0.018665463698942338,-0.005541525025336052,-0.5298185322420643,-0.02116546369894234
VME:MOMLS_VME_UK90,value_momentum_everywhere,DIRECTIONALLY_PERSISTENT_ONLY,1972-01-31,2026-04-30,84,0.00858208177766095,0.8393860260174864,2.366581233155868,-0.0023538394058313684,0.005118427954705555,-0.16021440740287463,-0.0048538394058313655,88,0.004209016718663296,0.3824508092421051,0.9377205468293595,-0.009327014830828855,0.0013954388704959218,-0.326361705403312,-0.011827014830828857
VME:VALLS_VME_ROE90,value_momentum_everywhere,FAILED_OR_UNIDENTIFIABLE,1981-07-31,2026-04-30,84,-0.002688051452110834,-0.3668176058438012,-0.9760484176458513,-0.010993256415956693,-0.005368468814623751,-0.27304963815637895,-0.013493256415956691,88,0.0019651961909805675,0.18091659789450765,0.41032095982421907,-0.012478101114595427,-0.0014161933176272375,-0.3579242445081354,-0.014978101114595428
VME:MOMLS_VME_ROE90,value_momentum_everywhere,DIRECTIONALLY_PERSISTENT_ONLY,1974-02-28,2026-04-30,84,0.003791150133361666,0.41984949238948166,1.5029129989435588,-0.0038159876385505044,0.0021734992480102783,-0.13022512832774935,-0.006315987638550504,88,0.0059791515153079546,0.6323904531494968,1.8020851622671985,-0.004026569448431145,0.004339465089587262,-0.18485650712184076,-0.006526569448431146
VME:VALLS_VME_JP90,value_momentum_everywhere,DIRECTIONALLY_PERSISTENT_ONLY,1981-07-31,2026-04-30,84,0.0004829198623120238,0.05330065220584174,0.15960526083388624,-0.008641641689036288,-0.001449565209349306,-0.19127253376256748,-0.01114164168903629,88,0.003842154610659319,0.33303908443940966,0.8318596813093316,-0.010086491396794472,0.0015967093681027627,-0.35669146740948243,-0.012586491396794474
VME:MOMLS_VME_JP90,value_momentum_everywhere,DIRECTIONALLY_PERSISTENT_ONLY,1974-02-28,2026-04-30,84,0.0006653792656773808,0.06327173044168687,0.2065834367186713,-0.009047721732349977,-0.0007319403394922229,-0.24610270689361013,-0.011547721732349978,88,0.001990202427148182,0.1927170360799781,0.5428685411940306,-0.009065509537054673,-0.0007492254706328577,-0.22788137046315737,-0.011565509537054675
VME:VALLS_VME_EQ,value_momentum_everywhere,FAILED_OR_UNIDENTIFIABLE,1977-03-31,2025-01-31,84,-0.00032802804114275143,-0.04547881837330205,-0.1152808986091426,-0.008909025170014307,-0.0016899183748351225,-0.24559156310010366,-0.011409025170014308,73,-0.0008355053528721658,-0.09185781766677237,-0.23061353518089067,-0.011761188023971074,-0.003002706030691441,-0.2643506850115399,-0.014261188023971074
VME:MOMLS_VME_EQ,value_momentum_everywhere,FAILED_OR_UNIDENTIFIABLE,1977-03-31,2025-01-31,84,-0.00037950956310698887,-0.061882880782911084,-0.2249553807392321,-0.005467080499393322,-0.0011813144777429645,-0.14916109425748658,-0.007967080499393323,73,0.001875161066826612,0.23737744630670474,0.6840365476465928,-0.006391752751917855,0.0005858098799651947,-0.1479658344708984,-0.008891752751917854
VME:VALLS_VME_FX,value_momentum_everywhere,FAILED_OR_UNIDENTIFIABLE,1979-01-31,2025-01-31,84,0.0010157207562659152,0.21328736711957721,0.5651122752608931,-0.0044045842515588445,9.94261679313586e-05,-0.14005859023492562,-0.006904584251558845,73,-0.0013257164435575472,-0.24609784226825032,-0.711430551839098,-0.006945275901839387,-0.0022964072353379053,-0.16429666702195844,-0.009445275901839387
VME:MOMLS_VME_FX,value_momentum_everywhere,FAILED_OR_UNIDENTIFIABLE,1979-01-31,2025-01-31,84,-0.0003289440526803856,-0.064678329193719,-0.21064139641516733,-0.005038310148012247,-0.001144830575952887,-0.15092159928365756,-0.007538310148012248,73,-0.00029877955997387396,-0.05916282782704574,-0.16544307323542345,-0.005744889871058339,-0.0010141863319063666,-0.17985242826835657,-0.008244889871058338
VME:VALLS_VME_FI,value_momentum_everywhere,FAILED_OR_UNIDENTIFIABLE,1983-01-31,2025-01-31,84,-0.00028664585382547655,-0.1700043054798144,-0.5199663736134554,-0.0019491186405755576,-0.0006720938593952919,-0.05918457992950854,-0.004449118640575557,73,-0.0001675525890333714,-0.07450563301265209,-0.2059018764209373,-0.002621554958890761,-0.0006483031633949238,-0.048846316894883834,-0.005121554958890761
VME:MOMLS_VME_FI,value_momentum_everywhere,DIRECTIONALLY_PERSISTENT_ONLY,1983-01-31,2025-01-31,84,3.801653609232165e-05,0.023335359923140862,0.0775537902579865,-0.0014402530938904061,-0.0003135902514295567,-0.04704265811061059,-0.003940253093890407,73,0.00044040901915625016,0.21026385194393704,0.44862931826693003,-0.0025200066345025633,-0.00025469387573353534,-0.0702236216356934,-0.005020006634502563
VME:VALLS_VME_COM,value_momentum_everywhere,DIRECTIONALLY_PERSISTENT_ONLY,1972-01-31,2025-01-31,84,0.011729741589170206,1.0118668186616717,3.3431874196468705,0.0011491034922884516,0.009544178400013049,-0.14013300037694176,-0.0013508965077115506,73,0.0042714676463508515,0.2582868274563003,0.6578966794957036,-0.01530812112099578,0.00023061113364276477,-0.29049193198843093,-0.01780812112099578
VME:MOMLS_VME_COM,value_momentum_everywhere,FAILED_OR_UNIDENTIFIABLE,1972-01-31,2025-01-31,84,0.00022632688494508935,0.019361094116962976,0.05200540280852445,-0.0128978423141269,-0.001927367160716609,-0.29915443324062096,-0.0153978423141269,73,-0.005613045408999345,-0.30444165342984586,-0.7095934213225931,-0.029467699008610525,-0.011162876479867351,-0.5501984313046875,-0.031967699008610524
BAB:USA,betting_against_beta,DIRECTIONALLY_PERSISTENT_ONLY,1930-12-31,2026-04-30,81,0.009038444909829935,1.8114640451023265,5.820426318179824,0.004355456760436533,0.007977434721033273,-0.055635887919395555,0.0018554567604365324,88,0.001575933918848479,0.1879981918183672,0.659823324221901,-0.005626752024548129,0.00015464931479511362,-0.15250958285456595,-0.008126752024548128
