claim_id,feature,family,horizon,orientation,diagnostic_survivor,discovery_ic_n,discovery_ic_mean,discovery_ic_hac_t,discovery_ic_bonferroni_lb,discovery_spread_n,discovery_spread_mean,discovery_spread_hac_t,discovery_spread_bonferroni_lb,validation_ic_n,validation_ic_mean,validation_ic_hac_t,validation_ic_bonferroni_lb,validation_spread_n,validation_spread_mean,validation_spread_hac_t,validation_spread_bonferroni_lb,diagnostic_holdout_ic_n,diagnostic_holdout_ic_mean,diagnostic_holdout_ic_hac_t,diagnostic_holdout_ic_bonferroni_lb,diagnostic_holdout_spread_n,diagnostic_holdout_spread_mean,diagnostic_holdout_spread_hac_t,diagnostic_holdout_spread_bonferroni_lb
deterministic_hash_noise:future_21d_return,deterministic_hash_noise,placebo,21,-1,False,24,0.002185444592195466,0.3342417631333721,-0.020573531393677423,24,0.00035331274341247177,0.20190968880485088,-0.005737507373489991,12,0.007819434518350994,0.45546782922013807,-0.051937907344231864,12,0.004295819723700787,1.9072354654235544,-0.0035441676749541325,12,-0.0067476151479215095,-0.44463699404876994,-0.05957004097966722,12,-0.0003793556322834535,-0.1990362716601226,-0.007013546152342331
skew_63:future_63d_return,skew_63,distribution,63,-1,False,24,0.005877710294609417,0.1786456370797964,-0.1086444134207048,24,0.004247543912520371,0.4018487375934546,-0.032544075154862746,12,0.08679574516092319,2.251041280214252,-0.04741540791492478,12,0.02029086984662755,1.6194335718103028,-0.023321647763127222,10,-0.007147979351907615,-0.26128801008503083,-0.1023700100114481,10,0.0014450909363539603,0.20183649308767904,-0.023476118576495075
mom63_x_volumez21:future_21d_return,mom63_x_volumez21,interaction,21,-1,False,24,0.016360323278161087,0.8739340155478734,-0.04880054586587172,24,0.002874483442804618,0.9011036772143324,-0.008228985453982023,12,0.051543043237597806,2.3924375384262118,-0.023446909464273837,12,0.008681101608597825,3.3133407320832813,-0.00043863658443382345,12,-0.0072024336182188635,-0.604277049865807,-0.04868988866729166,12,0.00032945885828531974,0.1466152829949677,-0.007492140687954265
beta_21:future_63d_return,beta_21,market,63,-1,False,24,0.07829259884571767,2.2588727871607457,-0.04235052297774697,24,0.02292775528556813,2.0305959104916482,-0.016373974140352975,12,-0.15163939038235857,-2.0109882418442595,-0.41410724983662156,12,-0.056184611104376926,-2.4518612944103926,-0.135946441585204,10,-0.015465338969983972,-0.23511354194686446,-0.2444231319554813,10,-0.0018478314966588645,-0.0941565220039039,-0.07015803645390407
clv_5:future_63d_return,clv_5,microstructure,63,-1,False,24,0.0371868849821218,2.2928619914899544,-0.019265918779998857,24,0.008322240114657627,1.3759858947139574,-0.012730076401729047,12,0.047358491229138884,1.4467086623315464,-0.06658523216043108,12,0.008073899811946535,0.8025519996687608,-0.026943492818165854,10,-0.01809738698618814,-0.7361339845859791,-0.10366957489371341,10,-0.005994332735464456,-0.6857634721332413,-0.03642000121536313
overnight_5:future_21d_return,overnight_5,session,21,1,False,24,0.021530520612379662,0.9642831623418165,-0.05618783063254633,24,0.006959427222619652,1.4119377460969809,-0.010197186758894423,12,-0.08376356434925729,-2.2872132289263836,-0.21123771471363073,12,-0.016950120645000972,-2.304530446036189,-0.042551535931576054,12,-0.018465704368102475,-0.9039531219949681,-0.08956963351675899,12,-0.00711585408435142,-1.8035001175312513,-0.020849457113113284
efficiency_126:future_21d_return,efficiency_126,path,21,-1,False,24,0.005812482916606147,0.25994853744617763,-0.07201768045301456,24,0.0006092012678023079,0.1646845388473766,-0.01226681750894464,12,0.015657034835290216,0.7190319593871136,-0.060136987342057455,12,0.0012909316791477538,0.2917946564307086,-0.014108317795573274,12,-0.019163901410539006,-1.4421489995308538,-0.06541770222355724,12,-0.0031513088957804223,-1.842526740167774,-0.009104513471830264
dist_high63_x_volumez21:future_21d_return,dist_high63_x_volumez21,interaction,21,-1,False,24,0.021440445974703713,1.4156014533810015,-0.03127846686636948,24,0.001996179619054009,0.7685824176583518,-0.007044119552005465,12,0.018775632468823227,0.6123376436826551,-0.08795209141969407,12,-0.0016242779966733057,-0.4038802746139033,-0.015622773082287638,12,-0.019244864345662922,-0.8301594570945743,-0.09993621135071132,12,-0.002232224054687805,-0.8691986952434073,-0.011171294277422642
sma_dist_5:future_63d_return,sma_dist_5,trend,63,-1,False,24,0.004402332177951239,0.21490448789469205,-0.06690118536409351,24,0.002024463434025964,0.3296870435956473,-0.01934933392997725,12,-0.01286161151593392,-0.4358933578243452,-0.11556594469905364,12,-0.015908134376752817,-1.1602260793264818,-0.06363360926456689,10,-0.019718724195503738,-0.7859948636378169,-0.10704254614946507,10,-0.003867922889207856,-0.496910654526496,-0.030961923079155046
dollar_volume_5:future_21d_return,dollar_volume_5,liquidity,21,-1,False,24,0.026143661806915908,1.7045855216652046,-0.02724158470074388,24,0.005972874614505452,2.0235086021902218,-0.0043014190278808295,12,0.016566945300230104,0.6084636126746702,-0.0782053627770683,12,0.0024101393159376657,1.1247144516986733,-0.005048738665621569,12,-0.020799946547536592,-0.9702034784218514,-0.09542300115991934,12,-0.005057240110572237,-1.2842690886445478,-0.018763885438125606
