date,t10y3m,hy_oas,cape,a1,a2,b1,b2,c,score
2024-04-16,-0.78,3.36,33.03,1,0,0,0,0,1
2024-04-17,-0.86,3.42,33.03,1,0,0,0,0,1
2024-04-18,-0.82,3.39,33.03,1,0,0,0,0,1
2024-04-19,-0.83,3.37,33.03,1,0,0,0,0,1
2024-04-22,-0.8,3.29,33.03,1,0,0,0,0,1
2024-04-23,-0.84,3.2,33.03,1,0,0,0,0,1
2024-04-24,-0.81,3.19,33.03,1,0,0,0,0,1
2024-04-25,-0.77,3.24,33.03,1,0,0,0,0,1
2024-04-26,-0.79,3.16,33.03,1,0,0,0,0,1
2024-04-29,-0.82,3.12,33.03,1,0,0,0,0,1
2024-04-30,-0.77,3.18,33.03,1,0,0,0,0,1
2024-05-01,-0.83,3.21,33.78,1,0,0,0,0,1
2024-05-02,-0.88,3.16,33.78,1,0,0,0,0,1
2024-05-03,-0.95,3.08,33.78,1,0,0,0,0,1
2024-05-06,-0.96,3.03,33.78,1,0,0,0,0,1
2024-05-07,-0.98,3.06,33.78,1,0,0,0,0,1
2024-05-08,-0.97,3.1,33.78,1,0,0,0,0,1
2024-05-09,-1.01,3.14,33.78,1,0,0,0,0,1
2024-05-10,-0.97,3.12,33.78,1,0,0,0,0,1
2024-05-13,-0.97,3.14,33.78,1,0,0,0,0,1
2024-05-14,-0.99,3.14,33.78,1,0,0,0,0,1
2024-05-15,-1.09,3.13,33.78,1,0,0,0,0,1
2024-05-16,-1.07,3.08,33.78,1,0,0,0,0,1
2024-05-17,-1.04,3.09,33.78,1,0,0,0,0,1
2024-05-20,-1.01,3.07,33.78,1,0,0,0,0,1
2024-05-21,-1.04,3.07,33.78,1,0,0,0,0,1
2024-05-22,-1.02,3.11,33.78,1,0,0,0,0,1
2024-05-23,-0.99,3.1,33.78,1,0,0,0,0,1
2024-05-24,-1.0,3.11,33.78,1,0,0,0,0,1
2024-05-28,-0.92,3.09,33.78,1,0,0,0,0,1
2024-05-29,-0.85,3.15,33.78,1,0,0,0,0,1
2024-05-30,-0.91,3.19,33.78,1,0,0,0,0,1
2024-05-31,-0.95,3.2,33.78,1,0,0,0,0,1
2024-06-03,-1.11,3.17,34.81,1,0,0,0,0,1
2024-06-04,-1.19,3.22,34.81,1,0,0,0,0,1
2024-06-05,-1.22,3.2,34.81,1,0,0,0,0,1
2024-06-06,-1.23,3.2,34.81,1,0,0,0,0,1
2024-06-07,-1.09,3.15,34.81,1,0,0,0,0,1
2024-06-10,-1.05,3.15,34.81,1,0,0,0,0,1
2024-06-11,-1.13,3.19,34.81,1,0,0,0,0,1
2024-06-12,-1.2,3.09,34.81,1,0,0,0,0,1
2024-06-13,-1.27,3.2,34.81,1,0,0,0,0,1
2024-06-14,-1.31,3.29,34.81,1,0,0,0,0,1
2024-06-17,-1.24,3.26,34.81,1,0,0,0,0,1
2024-06-18,-1.28,3.24,34.81,1,0,0,0,0,1
2024-06-20,-1.25,3.23,34.81,1,0,0,0,0,1
2024-06-21,-1.24,3.21,34.81,1,0,0,0,0,1
2024-06-24,-1.25,3.19,34.81,1,0,0,0,0,1
2024-06-25,-1.26,3.19,34.81,1,0,0,0,0,1
2024-06-26,-1.18,3.18,34.81,1,0,0,0,0,1
2024-06-27,-1.2,3.21,34.81,1,0,0,0,0,1
2024-06-28,-1.12,3.18,34.81,1,0,0,0,0,1
2024-07-01,-0.99,3.21,35.48,1,0,0,0,1,2
2024-07-02,-1.04,3.23,35.48,1,0,0,0,1,2
2024-07-03,-1.11,3.25,35.48,1,0,0,0,1,2
2024-07-05,-1.18,3.27,35.48,1,0,0,0,1,2
2024-07-08,-1.18,3.2,35.48,1,0,0,0,1,2
2024-07-09,-1.16,3.21,35.48,1,0,0,0,1,2
2024-07-10,-1.18,3.17,35.48,1,0,0,0,1,2
2024-07-11,-1.24,3.18,35.48,1,0,0,0,1,2
2024-07-12,-1.25,3.19,35.48,1,0,0,0,1,2
2024-07-15,-1.2,3.13,35.48,1,0,0,0,1,2
2024-07-16,-1.26,3.08,35.48,1,0,0,0,1,2
2024-07-17,-1.27,3.09,35.48,1,0,0,0,1,2
2024-07-18,-1.23,3.09,35.48,1,0,0,0,1,2
2024-07-19,-1.18,3.09,35.48,1,0,0,0,1,2
2024-07-22,-1.17,3.05,35.48,1,0,0,0,1,2
2024-07-23,-1.16,3.02,35.48,1,0,0,0,1,2
2024-07-24,-1.12,3.1,35.48,1,0,0,0,1,2
2024-07-25,-1.12,3.08,35.48,1,0,0,0,1,2
2024-07-26,-1.18,3.1,35.48,1,0,0,0,1,2
2024-07-29,-1.24,3.13,35.48,1,0,0,0,1,2
2024-07-30,-1.25,3.2,35.48,1,0,0,0,1,2
2024-07-31,-1.32,3.25,35.48,1,0,0,0,1,2
2024-08-01,-1.38,3.35,35.08,1,0,0,0,1,2
2024-08-02,-1.49,3.72,35.08,1,0,0,0,1,2
2024-08-05,-1.57,3.93,35.08,1,0,0,0,1,2
2024-08-06,-1.44,3.67,35.08,1,0,0,0,1,2
2024-08-07,-1.38,3.57,35.08,1,0,0,0,1,2
2024-08-08,-1.35,3.48,35.08,1,0,0,0,1,2
2024-08-09,-1.39,3.49,35.08,1,0,0,0,1,2
2024-08-12,-1.43,3.52,35.08,1,0,0,0,1,2
2024-08-13,-1.47,3.54,35.08,1,0,0,0,1,2
2024-08-14,-1.49,3.46,35.08,1,0,0,0,1,2
2024-08-15,-1.42,3.31,35.08,1,0,0,0,1,2
2024-08-16,-1.44,3.29,35.08,1,0,0,0,1,2
2024-08-19,-1.45,3.21,35.08,1,0,0,0,1,2
2024-08-20,-1.47,3.25,35.08,1,0,0,0,1,2
2024-08-21,-1.47,3.27,35.08,1,0,0,0,1,2
2024-08-22,-1.42,3.21,35.08,1,0,0,0,1,2
2024-08-23,-1.44,3.19,35.08,1,0,0,0,1,2
2024-08-26,-1.42,3.15,35.08,1,0,0,0,1,2
2024-08-27,-1.4,3.17,35.08,1,0,0,0,1,2
2024-08-28,-1.37,3.19,35.08,1,0,0,0,1,2
2024-08-29,-1.35,3.15,35.08,1,0,0,0,1,2
2024-08-30,-1.3,3.13,35.08,1,0,0,0,1,2
2024-09-03,-1.35,3.31,35.7,1,0,0,0,1,2
2024-09-04,-1.41,3.35,35.7,1,0,0,0,1,2
2024-09-05,-1.42,3.29,35.7,1,0,0,0,1,2
2024-09-06,-1.41,3.39,35.7,1,0,0,0,1,2
2024-09-09,-1.41,3.36,35.7,1,0,0,0,1,2
2024-09-10,-1.41,3.46,35.7,1,0,0,0,1,2
2024-09-11,-1.45,3.44,35.7,1,0,0,0,1,2
2024-09-12,-1.38,3.39,35.7,1,0,0,0,1,2
2024-09-13,-1.31,3.37,35.7,1,0,0,0,1,2
2024-09-16,-1.33,3.32,35.7,1,0,0,0,1,2
2024-09-17,-1.3,3.25,35.7,1,0,0,0,1,2
2024-09-18,-1.14,3.21,35.7,1,0,0,0,1,2
2024-09-19,-1.07,3.1,35.7,1,0,0,0,1,2
2024-09-20,-1.02,3.15,35.7,1,0,0,0,1,2
2024-09-23,-0.97,3.15,35.7,1,0,0,0,1,2
2024-09-24,-0.95,3.21,35.7,1,0,0,0,1,2
2024-09-25,-0.9,3.19,35.7,1,0,0,0,1,2
2024-09-26,-0.89,3.14,35.7,1,0,0,0,1,2
2024-09-27,-0.93,3.14,35.7,1,0,0,0,1,2
2024-09-30,-0.92,3.03,35.7,1,0,0,0,1,2
2024-10-01,-0.97,3.07,36.59,1,0,0,0,1,2
2024-10-02,-0.9,3.06,36.59,1,0,0,0,1,2
2024-10-03,-0.83,3.04,36.59,1,0,0,0,1,2
2024-10-04,-0.75,2.89,36.59,1,0,0,0,1,2
2024-10-07,-0.74,2.95,36.59,1,0,0,0,1,2
2024-10-08,-0.71,2.99,36.59,1,0,0,0,1,2
2024-10-09,-0.69,2.94,36.59,1,0,0,0,1,2
2024-10-10,-0.66,2.99,36.59,1,0,0,0,1,2
2024-10-11,-0.65,2.98,36.59,1,0,0,0,1,2
2024-10-15,-0.7,2.93,36.59,1,0,0,0,1,2
2024-10-16,-0.7,2.9,36.59,1,0,0,0,1,2
2024-10-17,-0.65,2.89,36.59,1,0,0,0,1,2
2024-10-18,-0.65,2.88,36.59,1,0,0,0,1,2
2024-10-21,-0.54,2.88,36.59,1,0,0,0,1,2
2024-10-22,-0.52,2.92,36.59,1,0,0,0,1,2
2024-10-23,-0.49,2.95,36.59,1,0,0,0,1,2
2024-10-24,-0.49,2.93,36.59,1,0,0,0,1,2
2024-10-25,-0.48,2.89,36.59,1,0,0,0,1,2
2024-10-28,-0.42,2.82,36.59,1,0,0,0,1,2
2024-10-29,-0.42,2.85,36.59,1,0,0,0,1,2
2024-10-30,-0.38,2.8,36.59,1,0,0,0,1,2
2024-10-31,-0.36,2.88,36.59,1,0,0,0,1,2
2024-11-01,-0.24,2.83,37.36,1,0,0,0,1,2
2024-11-04,-0.34,2.87,37.36,1,0,0,0,1,2
2024-11-05,-0.38,2.86,37.36,1,0,0,0,1,2
2024-11-06,-0.22,2.74,37.36,1,0,0,0,1,2
2024-11-07,-0.32,2.73,37.36,1,0,0,0,1,2
2024-11-08,-0.33,2.63,37.36,1,0,0,0,1,2
2024-11-12,-0.2,2.61,37.36,1,0,0,0,1,2
2024-11-13,-0.16,2.64,37.36,1,0,0,0,1,2
2024-11-14,-0.18,2.6,37.36,1,0,0,0,1,2
2024-11-15,-0.17,2.72,37.36,1,0,0,0,1,2
2024-11-18,-0.21,2.72,37.36,1,0,0,0,1,2
2024-11-19,-0.23,2.69,37.36,1,0,0,0,1,2
2024-11-20,-0.21,2.67,37.36,1,0,0,0,1,2
2024-11-21,-0.2,2.61,37.36,1,0,0,0,1,2
2024-11-22,-0.22,2.61,37.36,1,0,0,0,1,2
2024-11-25,-0.35,2.64,37.36,1,0,0,0,1,2
2024-11-26,-0.31,2.68,37.36,1,0,0,0,1,2
2024-11-27,-0.35,2.69,37.36,1,0,0,0,1,2
2024-11-29,-0.4,2.72,37.36,1,0,0,0,1,2
2024-12-02,-0.32,2.68,37.72,1,0,0,0,1,2
2024-12-03,-0.26,2.66,37.72,1,0,0,0,1,2
2024-12-04,-0.28,2.66,37.72,1,0,0,0,1,2
2024-12-05,-0.29,2.66,37.72,1,0,0,0,1,2
2024-12-06,-0.27,2.67,37.72,1,0,0,0,1,2
2024-12-09,-0.22,2.67,37.72,1,0,0,0,1,2
2024-12-10,-0.19,2.67,37.72,1,0,0,0,1,2
2024-12-11,-0.12,2.64,37.72,1,0,0,0,1,2
2024-12-12,-0.03,2.66,37.72,1,1,0,0,1,3
2024-12-13,0.06,2.68,37.72,1,1,0,0,1,3
2024-12-16,0.02,2.69,37.72,1,1,0,0,1,3
2024-12-17,0.02,2.75,37.72,1,1,0,0,1,3
2024-12-18,0.14,2.73,37.72,1,1,0,0,1,3
2024-12-19,0.22,2.91,37.72,1,1,0,0,1,3
2024-12-20,0.18,2.86,37.72,1,1,0,0,1,3
2024-12-23,0.23,2.85,37.72,1,1,0,0,1,3
2024-12-24,0.19,2.86,37.72,1,1,0,0,1,3
2024-12-26,0.23,2.86,37.72,1,1,0,0,1,3
2024-12-27,0.31,2.84,37.72,1,1,0,0,1,3
2024-12-30,0.18,2.94,37.72,1,1,0,0,1,3
2024-12-31,0.21,2.92,37.72,1,1,0,0,1,3
2025-01-02,0.21,2.88,37.14,1,1,0,0,1,3
2025-01-03,0.26,2.81,37.14,1,1,0,0,1,3
2025-01-06,0.27,2.76,37.14,1,1,0,0,1,3
2025-01-07,0.32,2.79,37.14,1,1,0,0,1,3
2025-01-08,0.32,2.84,37.14,1,1,0,0,1,3
2025-01-09,0.33,2.82,37.14,1,1,0,0,1,3
2025-01-10,0.41,2.81,37.14,1,1,0,0,1,3
2025-01-13,0.42,2.85,37.14,1,1,0,0,1,3
2025-01-14,0.42,2.8,37.14,1,1,0,0,1,3
2025-01-15,0.31,2.72,37.14,1,1,0,0,1,3
2025-01-16,0.27,2.73,37.14,1,1,0,0,1,3
2025-01-17,0.27,2.64,37.14,1,1,0,0,1,3
2025-01-21,0.21,2.61,37.14,1,1,0,0,1,3
2025-01-22,0.24,2.59,37.14,1,1,0,0,1,3
2025-01-23,0.29,2.61,37.14,1,1,0,0,1,3
2025-01-24,0.28,2.6,37.14,1,1,0,0,1,3
2025-01-27,0.21,2.66,37.14,1,1,0,0,1,3
2025-01-28,0.24,2.66,37.14,1,1,0,0,1,3
2025-01-29,0.24,2.68,37.14,1,1,0,0,1,3
2025-01-30,0.22,2.67,37.14,1,1,0,0,1,3
2025-01-31,0.27,2.68,37.14,1,1,0,0,1,3
2025-02-03,0.2,2.73,37.19,1,1,0,0,1,3
2025-02-04,0.19,2.71,37.19,1,1,0,0,1,3
2025-02-05,0.1,2.69,37.19,1,1,0,0,1,3
2025-02-06,0.11,2.66,37.19,1,1,0,0,1,3
2025-02-07,0.14,2.67,37.19,1,1,0,0,1,3
2025-02-10,0.16,2.66,37.19,1,1,0,0,1,3
2025-02-11,0.19,2.66,37.19,1,1,0,0,1,3
2025-02-12,0.27,2.65,37.19,1,1,0,0,1,3
2025-02-13,0.18,2.65,37.19,1,1,0,0,1,3
2025-02-14,0.13,2.62,37.19,1,1,0,0,1,3
2025-02-18,0.21,2.62,37.19,1,1,0,0,1,3
2025-02-19,0.19,2.68,37.19,1,1,0,0,1,3
2025-02-20,0.17,2.66,37.19,1,1,0,0,1,3
2025-02-21,0.1,2.78,37.19,1,1,0,0,1,3
2025-02-24,0.09,2.78,37.19,1,1,0,0,1,3
2025-02-25,0.0,2.84,37.19,1,1,0,0,1,3
2025-02-26,-0.06,2.81,37.19,1,1,0,0,1,3
2025-02-27,-0.03,2.81,37.19,1,1,0,0,1,3
2025-02-28,-0.08,2.87,37.19,1,1,0,0,1,3
2025-03-03,-0.19,2.94,34.79,1,1,0,0,0,2
2025-03-04,-0.12,2.99,34.79,1,1,0,0,0,2
2025-03-05,-0.07,2.88,34.79,1,1,0,0,0,2
2025-03-06,-0.05,2.99,34.79,1,1,0,0,0,2
2025-03-07,-0.02,2.97,34.79,1,1,0,0,0,2
2025-03-10,-0.11,3.16,34.79,1,1,0,0,0,2
2025-03-11,-0.06,3.22,34.79,1,1,0,0,0,2
2025-03-12,-0.03,3.2,34.79,1,1,0,0,0,2
2025-03-13,-0.07,3.4,34.79,1,1,0,0,0,2
2025-03-14,-0.02,3.25,34.79,1,1,0,0,0,2
2025-03-17,-0.03,3.18,34.79,1,1,0,0,0,2
2025-03-18,-0.05,3.23,34.79,1,1,0,0,0,2
2025-03-19,-0.08,3.19,34.79,1,1,0,0,0,2
2025-03-20,-0.09,3.17,34.79,1,1,0,0,0,2
2025-03-21,-0.08,3.21,34.79,1,1,0,0,0,2
2025-03-24,0.01,3.05,34.79,1,1,0,0,0,2
2025-03-25,-0.02,3.09,34.79,1,1,0,0,0,2
2025-03-26,0.02,3.19,34.79,1,1,0,0,0,2
2025-03-27,0.05,3.27,34.79,1,1,0,0,0,2
2025-03-28,-0.06,3.47,34.79,1,1,0,0,0,2
2025-03-31,-0.09,3.55,34.79,1,1,0,0,0,2
2025-04-01,-0.15,3.5,32.63,1,1,0,0,0,2
2025-04-02,-0.12,3.42,32.63,1,1,0,0,0,2
2025-04-03,-0.25,4.01,32.63,1,1,0,0,0,2
2025-04-04,-0.27,4.45,32.63,1,1,1,0,0,3
2025-04-07,-0.14,4.61,32.63,1,1,1,0,0,3
2025-04-08,-0.05,4.57,32.63,1,1,1,0,0,3
2025-04-09,-0.01,4.37,32.63,1,1,1,0,0,3
2025-04-10,0.06,4.42,32.63,1,1,1,0,0,3
2025-04-11,0.14,4.26,32.63,1,1,1,0,0,3
2025-04-14,0.05,4.14,32.63,1,1,1,0,0,3
2025-04-15,0.02,4.09,32.63,1,1,1,0,0,3
2025-04-16,-0.04,4.16,32.63,1,1,1,0,0,3
2025-04-17,0.0,4.02,32.63,1,1,1,0,0,3
2025-04-21,0.08,4.16,32.63,1,1,1,0,0,3
2025-04-22,0.08,3.99,32.63,1,1,1,0,0,3
2025-04-23,0.07,3.75,32.63,1,1,1,0,0,3
2025-04-24,0.0,3.73,32.63,1,1,1,0,0,3
2025-04-25,-0.03,3.67,32.63,1,1,1,0,0,3
2025-04-28,-0.09,3.73,32.63,1,1,1,0,0,3
